"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Automation Framework API","API Endpoint","Delete an existing post","0","0","1","0","0"
"Automation Framework API","API Booking","Update a reservation","0","0","1","0","0"
"Automation Framework API","API Endpoint","Handle non-existent resource","0","0","1","0","0"
"Automation Framework API","API Endpoint","Validate post response schema","0","0","1","0","0"
"Automation Framework API","API Endpoint","Update an existing post","0","0","1","0","0"
"Automation Framework API","API Booking","Create a reservation","0","0","1","0","0"
"Automation Framework API","API Endpoint","Retrieve a single post","0","0","1","0","0"
"Automation Framework API","API Endpoint","Filter apiOne by user","0","0","1","0","0"
"Automation Framework API","API Endpoint","Create a new post","0","0","1","0","0"
"Automation Framework API","API Booking","Delete a reservation","0","0","1","0","0"
