"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 28 00:53:45 UTC 2026","Tue Jul 28 00:53:48 UTC 2026","2830","API_Test_Suite","API Tests","test.api.ATC02_Booking","test.api.ATC02_Booking","createBooking","createBooking","Verifies that POST /booking creates a new resource successfully and returns status 200 with booking data"
"passed","Tue Jul 28 00:53:49 UTC 2026","Tue Jul 28 00:53:49 UTC 2026","578","API_Test_Suite","API Tests","test.api.ATC01_Test1","test.api.ATC01_Test1","shouldMatchPostSchema","shouldMatchPostSchema","GET /posts/1 response must match the defined JSON Schema"
"passed","Tue Jul 28 00:53:49 UTC 2026","Tue Jul 28 00:53:49 UTC 2026","82","API_Test_Suite","API Tests","test.api.ATC01_Test1","test.api.ATC01_Test1","shouldGetPostById","shouldGetPostById","GET /posts/1 should return the correct post with all required fields"
"passed","Tue Jul 28 00:53:48 UTC 2026","Tue Jul 28 00:53:51 UTC 2026","2196","API_Test_Suite","API Tests","test.api.ATC02_Booking","test.api.ATC02_Booking","updateBooking","updateBooking","Verifies that PUT /booking/{id} updates checkin and checkout dates and returns status 200"
"passed","Tue Jul 28 00:53:49 UTC 2026","Tue Jul 28 00:53:49 UTC 2026","114","API_Test_Suite","API Tests","test.api.ATC01_Test1","test.api.ATC01_Test1","shouldGetapiOneByUserId","shouldGetapiOneByUserId","GET /posts?userId=1 should return only apiOne belonging to user 1"
"passed","Tue Jul 28 00:53:48 UTC 2026","Tue Jul 28 00:53:49 UTC 2026","154","API_Test_Suite","API Tests","test.api.ATC01_Test1","test.api.ATC01_Test1","shouldDeletePost","shouldDeletePost","DELETE /post/1 should return 200 and an empty response body"
"passed","Tue Jul 28 00:53:51 UTC 2026","Tue Jul 28 00:53:52 UTC 2026","1219","API_Test_Suite","API Tests","test.api.ATC02_Booking","test.api.ATC02_Booking","deleteBooking","deleteBooking","Verifies that DELETE /booking/{id} removes the resource and returns 201, and that a subsequent GET returns 404"
"passed","Tue Jul 28 00:53:49 UTC 2026","Tue Jul 28 00:53:50 UTC 2026","293","API_Test_Suite","API Tests","test.api.ATC01_Test1","test.api.ATC01_Test1","shouldUpdatePost","shouldUpdatePost","PUT /post/1 should fully replace the post and return 200 with updated data"
"passed","Tue Jul 28 00:53:45 UTC 2026","Tue Jul 28 00:53:48 UTC 2026","2976","API_Test_Suite","API Tests","test.api.ATC01_Test1","test.api.ATC01_Test1","shouldCreatePost","shouldCreatePost","POST /posts should create a resource and return 201 with the created data"
"passed","Tue Jul 28 00:53:49 UTC 2026","Tue Jul 28 00:53:49 UTC 2026","87","API_Test_Suite","API Tests","test.api.ATC01_Test1","test.api.ATC01_Test1","shouldReturn404ForNonExistentPost","shouldReturn404ForNonExistentPost","GET /posts/9999 should return 404 for a post that does not exist"
